,aveFitness,peakFitness,peakParameters,generation
0,0.3526187691053614,0.6111728325569634,"[1.1023669628789587, -0.40095781611744385, 0.07221783666459292, -0.04358904367681937, -0.8343344859171653, 1.2647801997463208, 0.5941129996246852, 0.9131912679041871]",500
1,0.3232957174934795,0.5783822305886213,"[1.6586204833820553, -1.4217768958689234, 0.7643508567448132, -0.31108617332760247, 0.0517838072950525, -0.5255683734460526, 0.009715741497742236, 0.7526382670636647]",500
2,0.32484570080446445,0.6461889851690447,"[0.5733383247964081, 0.010028228221873547, 0.6080648183877368, -0.31441093436033185, 3.638541090170463, -0.6736406516764815, -0.2275328980347151, -0.4760629964687171]",500
3,0.3011301524260056,0.5179654705264862,"[-0.07553687727036085, 0.1394886837110807, 4.181998901213596, 0.6161086741460302, -3.0461728536613197, -0.029355942406914082, 3.2632259837232915, -0.33474136588249515]",500
4,0.3361577835133847,0.6514127121895139,"[0.8250420600295696, 0.5796200784818941, 0.13502748025206657, 0.9513873118122929, 1.0085010706940176, -0.07658520522073164, 0.9530159619709266, 0.26102621845738216]",500
5,0.3062068604641124,0.57018071814995,"[3.201691119921435, 2.457732319249284, 0.5844382239589052, -0.2715613367979923, -0.02766232403236124, -0.43484908407471856, -0.09920628225487782, 0.03898498028081043]",500
6,0.2958246102821396,0.5774472259212302,"[-0.266165137961929, -0.24692817850302973, 0.5589102082024162, 0.5938908241185086, 0.14760155541310382, -1.0055122816339814, -0.9881259930800326, -2.0847578969879574]",500
7,0.29679021341727074,0.5380004313768969,"[3.995912366855766, 0.27679072390550274, -0.30880571756160613, -2.2472769187524912, 0.4949372291069709, 0.3414544290187731, -0.6509400012625308, -0.3626283729801987]",500
8,0.3117658989715836,0.564345284725589,"[0.23235162701652623, 0.3880697358692675, 0.8037183090906774, 1.4969831396937803, 0.12597646695267883, 0.42453564349386674, -0.6063544731002004, 1.8836180701063725]",500
9,0.3019535167099785,0.6693712591748799,"[2.2404811838297345, -0.0653225132640518, 0.07766783496720642, -0.6807701406109059, 0.3260211952867049, 0.5702279487639164, -0.16456789238662228, -0.18066602694224]",500
